"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105370777",1.29870893440663,-1.3419086471086,1.43598542865791,-0.934486256147293,0.350053122270234,0.497449943329836
"LOC105370787",0.917060715386002,-0.743884347555366,1.60813741556186,-0.462575113517563,0.643668950373346,0.771848384414201
"LOC105370789",0.246385490750577,0.226799344022713,11.5289076826572,0.0196722317729965,0.984304842327364,NA
"LOC105370790",0.738508014352069,1.1291560884929,2.00684666023831,0.562651901046998,0.573671942904957,NA
"LOC105370791",0.153053097062718,-0.732703675564472,11.5289076841116,-0.0635536076478638,0.94932567275194,NA
"LOC105370792",8.6149335884368,2.09327777768032,0.647456102767289,3.23308061926275,0.00122462997695247,0.0040613572161417
"LOC105370794",0.157619481339472,2.1706511954109,11.5112880439305,0.188567186150417,0.850432053032197,NA
"LOC105370798",0.25760665969889,0.227443870525338,11.5289076842024,0.0197281370235096,0.984260245045999,NA
"LOC105370802",4.06941151697202,-0.374381024410097,0.648167998430619,-0.57759874803534,0.563535052394408,0.704756261632168
"LOC105370803",0.455754382314406,2.0971481523016,3.92205462206154,0.534706513393554,0.592852816824115,NA
"LOC105370804",0.436132632533573,-0.796192524828651,2.17198304431359,-0.366574005682569,0.713936800856547,NA
"LOC105370805",0.141954703270058,-0.732790777419216,11.5289076839967,-0.0635611627315226,0.949319656830394,NA
"LOC105370816",0.110753627343749,0.227222835812593,11.5289076840947,0.0197089648073139,0.984275539287646,NA
"LOC105370819",0.150644578496383,0.227242293220572,11.5289076844639,0.019710652512796,0.984274192955033,NA
"LOC105370820",0.612516731589008,0.228441979232195,3.19690488752326,0.0714572335647983,0.943033860179551,NA
"LOC105370821",0.314958740624678,0.228490763923326,7.15447317549691,0.031936769950564,0.974522475405896,NA
"LOC105370823",0.208193211564301,0.227141555006037,11.5289076838243,0.0197019146336586,0.984281163420313,NA
"LOC105370824",0.926873571526523,0.227890649628298,6.17194438903031,0.0369236394989784,0.970545891002354,0.990232608841792
"LOC105370826",0.896085987798799,-5.408721058096,2.65809691973771,-2.03480957294428,0.0418700374710299,0.0901655678895817
"LOC105370827",5.87682631461433,-0.304662862230325,0.559913110141875,-0.544125252136223,0.5863552844672,0.724795863838074
"LOC105370832",0.288084196184956,0.227834377001139,6.59972872151525,0.0345217790934942,0.97246107549218,NA
"LOC105370833",0.305612809406154,0.192497841591835,4.29716893758421,0.0447964332768479,0.96426956807348,NA
"LOC105370834",0.95547141753878,2.93817258376297,1.73942872317112,1.68915951807812,0.0911888644922061,0.173397217139884
"LOC105370841",14.9832303833122,-0.308536892344991,0.491767261862473,-0.627404295227925,0.530394252932838,0.675959357589768
"LOC105370844",0.511425622866882,-0.73310446059049,11.5289076826851,-0.063588371142178,0.94929799148684,NA
"LOC105370846",2.7011987605662,0.511209907545304,1.05462889390856,0.484729662251818,0.627868122619407,0.759075296145084
